Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Gearbox,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,Cooling system,Top speed,Fuel control,Transmission type,Fuel capacity,Fuel system,Wheelbase,Lubrication system,Front suspension,Rear suspension,Front tire,Rear tire,Comments,Max RPM,Compression,Bore x stroke,Ignition,Clutch,Exhaust system,Rake (fork angle),Diameter,0-100 km/h (0-62 mph),Frame type,Color options,"Weight incl. oil, gas, etc",Overall length,Overall width,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Fuel consumption,Greenhouse gases,Ground clearance,Front wheel travel,Rear wheel travel,Overall height,Reserve fuel capacity,Oil filter,Battery,Chain size,Chain links,Sprockets,Engine details,Trail,Modifications compared to previous model,1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Wheels
Ducati 900 Superlight,1995,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7000 RPM,83.4 Nm (8.5 kgf-m or 61.5 ft.lbs) @ 6400 RPM,2,6-speed,Dual disc,Single disc,182.0 kg (401.2 pounds),0.4396 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 N,1995,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 8500 RPM,65.7 Nm (6.7 kgf-m or 48.5 ft.lbs) @ 7000 RPM,2,6-speed,Single disc,Single disc,187.0 kg (412.3 pounds),0.3262 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 900 RR Fireblade,1995,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",893.0 ccm (54.49 cubic inches),"In-line four, four-stroke",124.0 HP (90.5  kW)) @ 10500 RPM,88.3 Nm (9.0 kgf-m or 65.1 ft.lbs) @ 8500 RPM,4,6-speed,Dual disc,Single disc,185.0 kg (407.9 pounds),0.6703 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 610,1995,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",577.0 ccm (35.21 cubic inches),"Single cylinder, four-stroke",54.5 HP (39.8  kW)) @ 7500 RPM,58.8 Nm (6.0 kgf-m or 43.4 ft.lbs) @ 6000 RPM,4,6-speed,Single disc,Single disc,117.0 kg (257.9 pounds),0.4658 HP/kg,"945 mm (37.2 inches) If adjustable, lowest setting.",,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 Seven-Fifty,1995,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)) @ 8500 RPM,61.8 Nm (6.3 kgf-m or 45.6 ft.lbs) @ 7500 RPM,4,5-speed,Double disc. Two-piston calipers. ,Expanding brake (drum brake). Single-piston caliper. ,215.0 kg (474.0 pounds),0.3395 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,Air,205.0 km/h (127.4 mph),Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),20.00 litres (5.28 US gallons),Carburettor,1495 mm (58.9 inches),,41mm air-assist stepless preload adjustable RTF VIII fork,Dual conventional remote reservoir dampers with adjustable spring preload,120/70-ZR17 ,150/70-ZR17 ,,,9.3:1,67.0 x 53.0 mm (2.6 x 2.1 inches),Fully transistorized ,,,,240 mm (9.4 inches),,,,,,,3.00 litres (3.17 US quarts),SAE 10W-40,DOT 4,"NGK DPR8EA-9, NGK DPR8EIX-9",1200  +/- 100  RPM,36 PSI (2.5 Bar or 250 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,,130 mm (5.1 inches),110 mm (4.3 inches),,,,,,112,15/40 (front/rear),,,,,,
Suzuki GSF 600 S Bandit,1995,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 10500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,196.0 kg (432.1 pounds),0.3980 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 900,1995,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 6500 RPM,4,6-speed,Dual disc,Single disc,217.0 kg (478.4 pounds),0.4516 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 E,1995,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",45.0 HP (32.8  kW)) @ 6500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5500 RPM,4,5-speed,Single disc,Single disc,156.0 kg (343.9 pounds),0.2885 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",,Air,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Dyna Low Rider,1995,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Dual disc,Single disc,272.0 kg (599.7 pounds),0.1765 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda PC800 Pacific Coast,1995,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",800.0 ccm (48.82 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 6700 RPM,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs),3,5-speed,Double disc. 2 piston calipers,Expanding brake (drum brake),264.9 kg (584.0 pounds),0.1737 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",Electric,Liquid,202.8 km/h (126.0 mph),Single Overhead Cams (SOHC),Shaft drive (cardan)   (final drive),15.89 litres (4.20 US gallons),Carburettor. Two 36mm diaphragm-type CV,1554 mm (61.2 inches),Wet Sump,41mm fork,Dual shocks with four-way spring. preload adjustability,120/80-17 ,140/80-15 ,One of the most underrated models in Honda´s inventory. Used bike market values have stayed level for the last 10 years,8000,9.0:1,79.5 x 80.6 mm (3.1 x 3.2 inches),"Solid-state digital, dual spark plugs per cylinder",Wet Plate,Single muffler,,,,Steel,"1989-White
1990 Candy Glory Red
1994 Black
1995 Black
1996 Red
1997 Red
1998 Red",,,,,,,,,,,,5.22 litres/100 km (19.2 km/l or 45.06 mpg),121.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,145 mm (5.7 inches),130 mm (5.1 inches),,,,,,,,,,1989 model had stator problems and tire rubbing under trunk.  Both fixed for 1990 and beyond.  1996 last year for auto turn signal shutoff,,,
Husaberg FE 500 Enduro,1995,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",52.0 HP (38.0  kW)),,4,6-speed,Single disc,Single disc,108.0 kg (238.1 pounds),0.4815 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1200,1995,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,91.2 Nm (9.3 kgf-m or 67.3 ft.lbs) @ 6000 RPM,4,5-speed,Dual disc,Single disc,232.0 kg (511.5 pounds),0.4224 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 Virago,1995,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 7500 RPM,47.1 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 6000 RPM,2,5-speed,Single disc,Expanding brake,182.0 kg (401.2 pounds),0.2527 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",Electric,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F,1995,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 10000 RPM,72.6 Nm (7.4 kgf-m or 53.5 ft.lbs) @ 8000 RPM,4,6-speed,Dual disc,Single disc,209.0 kg (460.8 pounds),0.4785 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Triple,1995,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 6500 RPM,4,5-speed,Dual disc,Single disc,209.0 kg (460.8 pounds),0.4689 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 RSE,1995,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",641.0 ccm (39.11 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6800 RPM,55.9 Nm (5.7 kgf-m or 41.2 ft.lbs) @ 5000 RPM,4,5-speed,Single disc,Single disc,170.0 kg (374.8 pounds),0.2706 HP/kg,"925 mm (36.4 inches) If adjustable, lowest setting.",,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Bullet,1995,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5400 RPM,34.3 Nm (3.5 kgf-m or 25.3 ft.lbs) @ 3000 RPM,2,4-speed,Expanding brake,Expanding brake,168.0 kg (370.4 pounds),0.1310 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,Air,125.0 km/h (77.7 mph),,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 RS,1995,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,104.9 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 5500 RPM,4,5-speed,Dual disc,Single disc,248.0 kg (546.7 pounds),0.4032 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GS 500 E,1995,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",45.5 HP (33.2  kW)) @ 9200 RPM,39.2 Nm (4.0 kgf-m or 28.9 ft.lbs) @ 7500 RPM,2,6-speed,Single disc,Single disc,169.0 kg (372.6 pounds),0.2692 HP/kg,,,Air,,,Chain   (final drive),17.00 litres (4.49 US gallons),,1410 mm (55.5 inches),,,,110/70-17 ,130/70-17 ,,,,74.0 x 56.6 mm (2.9 x 2.2 inches),,,,,250 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GTR 1000,1995,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",93.0 HP (67.9  kW)) @ 9000 RPM,,4,6-speed,Dual disc,Single disc,270.0 kg (595.2 pounds),0.3444 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Skorpion Tour 660,1995,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6250 RPM,55.9 Nm (5.7 kgf-m or 41.2 ft.lbs) @ 5250 RPM,5,5-speed,Single disc,Single disc,170.0 kg (374.8 pounds),0.2824 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB 7,1995,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",132.0 HP (96.4  kW)) @ 11500 RPM,83.4 Nm (8.5 kgf-m or 61.5 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,208.0 kg (458.6 pounds),0.6346 HP/kg,,Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1000 Virago,1995,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",981.0 ccm (59.86 cubic inches),"V2, two-stroke",65.0 HP (47.4  kW)) @ 6500 RPM,,2,5-speed,Double disc. 0,Expanding brake (drum brake). 0,,,"715 mm (28.1 inches) If adjustable, lowest setting.",Electric,Air,180.0 km/h (111.8 mph),Overhead Cams (OHC),Shaft drive (cardan)   (final drive),16.80 litres (4.44 US gallons),Carburettor. Mikuni 40mm,1525 mm (60.0 inches),,38 mm telescopic forks,Double sided swingarm with twin KYB shocks.,100/90-19 ,140/90-15 ,,7500,8.3:1,96.0 x 69.2 mm (3.8 x 2.7 inches),,,,32.0°,,4.00 seconds,,Blue/green,236.0 kg (520.3 pounds),2285 mm (90.0 inches),840 mm (33.1 inches),,,,,,,,,,,,150 mm (5.9 inches),97 mm (3.8 inches),,3.50 litres (0.92 US gallons),,,,,,75° V-twin,129 mm (5.1 inches),,15.00 seconds,4.00 seconds,
Triumph Daytona 1200,1995,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",147.0 HP (107.3  kW)) @ 9500 RPM,112.8 Nm (11.5 kgf-m or 83.2 ft.lbs) @ 8000 RPM,4,6-speed,Dual disc,Single disc,247.0 kg (544.5 pounds),0.5951 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 750,1995,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line three, four-stroke",90.0 HP (65.7  kW)) @ 10000 RPM,66.7 Nm (6.8 kgf-m or 49.2 ft.lbs) @ 8700 RPM,4,6-speed,Dual disc,Single disc,212.0 kg (467.4 pounds),0.4245 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100 WS,1995,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1027.0 ccm (62.67 cubic inches),"In-line four, four-stroke",153.0 HP (111.7  kW)) @ 10000 RPM,110.8 Nm (11.3 kgf-m or 81.7 ft.lbs) @ 9000 RPM,4,5-speed,Dual disc,Single disc,221.0 kg (487.2 pounds),0.6923 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Mosquito 585 50,1995,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",48.8 ccm (2.98 cubic inches),"Single cylinder, two-stroke",5.1 HP (3.7  kW)) @ 7500 RPM,4.7 Nm (0.5 kgf-m or 3.5 ft.lbs) @ 7250 RPM,,5-speed,Single disc,Expanding brake (drum brake),78.0 kg (172.0 pounds),0.0654 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",Kick,,80.0 km/h (49.7 mph),Port control,Chain   (final drive),6.50 litres (1.72 US gallons),Carburettor,1200 mm (47.2 inches),Mix in fuel,CZ telescopic,Hydraulic telescopic,,,,,,38.0 x 43.0 mm (1.5 x 1.7 inches),,,,,124 mm (4.9 inches),,,"Black/yellow, red, black/red, white",,,,,,,,,,,,1.80 litres/100 km (55.6 km/l or 130.68 mpg),41.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,78 mm (3.1 inches),70 mm (2.8 inches),,1.20 litres (0.32 US gallons),,,,,,"Same engine in the Tomos AT 50, 5 speed, air cooled",,,,,"Italian, cast, 3-spoke, only in white color"
Yamaha XV 250 S Virago,1995,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",21.0 HP (15.3  kW)) @ 8000 RPM,20.6 Nm (2.1 kgf-m or 15.2 ft.lbs) @ 6500 RPM,2,5-speed,Single disc,Expanding brake,137.0 kg (302.0 pounds),0.1533 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 900,1995,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 6500 RPM,4,6-speed,Dual disc,Single disc,213.0 kg (469.6 pounds),0.4601 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 900,1995,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",85.0 HP (62.0  kW)) @ 8000 RPM,80.4 Nm (8.2 kgf-m or 59.3 ft.lbs) @ 6000 RPM,4,6-speed,Dual disc,Single disc,209.0 kg (460.8 pounds),0.4067 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX 9 R Ninja,1995,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",141.0 HP (102.9  kW)) @ 10500 RPM,94.1 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 9000 RPM,4,6-speed,Dual disc,Single disc,215.0 kg (474.0 pounds),0.6558 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 500,1995,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 9500 RPM,47.1 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 8000 RPM,4,6-speed,Single disc,Expanding brake,170.0 kg (374.8 pounds),0.3412 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 600 C,1995,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 8250 RPM,,2,5-speed,Single disc,Single disc,172.0 kg (379.2 pounds),0.3081 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 640 Sport,1995,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"Twin, two-stroke",23.5 HP (17.2  kW)) @ 5250 RPM,31.4 Nm (3.2 kgf-m or 23.2 ft.lbs) @ 4750 RPM,,4-speed,Single disc,Expanding brake,160.0 kg (352.7 pounds),0.1469 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,Air,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson 1340 Heritage Softail Classic,1995,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 4900 RPM,86.3 Nm (8.8 kgf-m or 63.7 ft.lbs) @ 2400 RPM,2,5-speed,Single disc,Single disc,322.0 kg (709.9 pounds),0.1491 HP/kg,"673 mm (26.5 inches) If adjustable, lowest setting.",Electric,Air,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 800 Intruder,1995,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,73.6 Nm (7.5 kgf-m or 54.3 ft.lbs) @ 5500 RPM,4,5-speed,Single disc,Expanding brake,200.0 kg (440.9 pounds),0.3000 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 LT SE,1995,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,104.9 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 5500 RPM,4,5-speed,Dual disc,Single disc,270.0 kg (595.2 pounds),0.3704 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,,,Shaft drive (cardan)   (final drive),,,,,,,,,"The K 1100 LT SE is basically the same as the K 1100 LT, but includes a few luxury devices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint 900,1995,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 6500 RPM,4,6-speed,Dual disc,Single disc,215.0 kg (474.0 pounds),0.4558 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Liquid,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Saxon Tour 500,1995,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7200 RPM,34.3 Nm (3.5 kgf-m or 25.3 ft.lbs) @ 6000 RPM,4,5-speed,Single disc,Expanding brake,145.0 kg (319.7 pounds),0.2345 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 FS,1995,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10400 RPM,73.6 Nm (7.5 kgf-m or 54.3 ft.lbs) @ 9500 RPM,4,6-speed,Dual disc,Single disc,195.0 kg (429.9 pounds),0.5436 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 748 Biposto,1995,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",98.0 HP (71.5  kW)) @ 11000 RPM,,4,6-speed,Dual disc,Single disc,200.0 kg (440.9 pounds),0.4900 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
